Price,Close,High,Low,Open,Volume
Ticker,DIS,DIS,DIS,DIS,DIS
Date,,,,,
2014-01-02,68.57755279541016,68.78435846012063,68.24487466770924,68.37075399060828,5200900
2014-01-03,68.4336929321289,68.96418337877851,68.343780110991,68.6045320942269,4060700
2014-01-06,68.17294311523438,69.09006489583817,67.87622462213274,68.8113330834808,6816200
2014-01-07,68.64049530029297,68.96418696113045,68.24487749475406,68.44268982747796,4494900
2014-01-08,67.6334457397461,68.58653383067904,67.26479431746003,68.45166119179616,10900300
2014-01-09,67.34573364257812,67.84925094101928,66.82422966353053,67.84925094101928,8052900
2014-01-10,67.78631591796875,67.89421542926587,67.04002639962594,67.50758408867098,6219000
2014-01-13,65.880126953125,67.55253151102048,65.6823214885651,67.34573270628239,8232800
2014-01-14,66.94111633300781,67.05800917842002,65.89811522414577,66.27575320184192,5996500
2014-01-15,66.78826904296875,67.52556523485205,66.7612958795928,66.80625572515893,7283900
2014-01-16,66.7253189086914,66.896158063154,66.28474130287061,66.8871647234696,5597400
2014-01-17,66.5185317993164,67.10296864320316,66.24878644066911,66.9231429773779,6624800
2014-01-21,66.7163314819336,67.32774829640556,65.90710919623119,66.52751249127579,7507100
2014-01-22,67.71437072753906,67.82227021942334,66.58145693233983,66.60843009033391,6795100
2014-01-23,67.246826171875,67.3906853143868,66.67137588201066,67.01304734789619,6280900
2014-01-24,65.3855972290039,66.74330335987774,65.3855972290039,66.62641052760752,7334900
2014-01-27,64.9630126953125,65.55644973725802,64.48646850945835,65.16082504262768,7415100
2014-01-28,65.52945709228516,65.63735658637762,64.9540068436082,64.97199352257763,5508400
2014-01-29,64.13579559326172,64.95401118342969,63.946976610915264,64.71124588038668,8604800
2014-01-30,65.83516693115234,66.20381152012921,64.73821278362237,64.81913225684612,7550500
2014-01-31,65.28668212890625,65.9250719395403,64.55837951647574,64.91803072366159,7748500
2014-02-03,62.93092727661133,65.39458053694501,62.80504798417465,65.33164089072667,11964800
2014-02-04,63.88404083251953,64.06386648570881,62.83203949564445,63.78513466529274,11278800
2014-02-05,64.52242279052734,64.78317475714202,63.272616134624386,64.78317475714202,11573300
2014-02-06,67.93917846679688,68.99117999285512,67.23784868936484,67.98413831813387,19821900
2014-02-07,68.03807830810547,68.06505147242868,67.0849899158343,67.50758778332346,11480100
2014-02-10,69.28787231445312,69.51265778846566,67.94815281011273,68.03806562773609,8781600
2014-02-11,69.94425201416016,70.06113799625558,69.33283522337533,69.36880172399897,8186200
2014-02-12,70.05215454101562,70.14206736650306,69.8093823662998,69.8273690473426,6329500
2014-02-13,70.04315185546875,70.34885679332122,69.4137484412128,69.70147356033016,5955400
2014-02-14,71.23902130126953,71.45481345329448,69.92626798835327,70.02517415384571,7001100
2014-02-18,71.5537109375,71.93134887270378,71.41883828638208,71.48177794224938,6136500
2014-02-19,70.91534423828125,71.7335600322225,70.85240456182423,71.48180132639442,7024000
2014-02-20,71.20304870605469,71.61665315367019,70.88834355555947,71.22102852555612,5748700
2014-02-21,72.04823303222656,72.33595814608151,70.85237960083718,71.09514487881475,8252300
2014-02-24,72.58773803710938,73.3609938604674,72.34496585101591,72.38093235487825,6635200
2014-02-25,72.12016296386719,73.1451840672033,71.96731050422581,72.57872720269889,6064300
2014-02-26,72.00328063964844,72.78552965495356,71.56269619618531,72.49780453876738,5775600
2014-02-27,72.36294555664062,72.46184485784103,71.80547509038203,71.93135441181002,4919800
2014-02-28,72.6596450805664,73.3609745717088,72.08419488989023,72.68661823639383,7030700
2014-03-03,71.44580841064453,72.51578937485931,70.89733134998886,72.20109110888664,8449400
2014-03-04,73.46888732910156,73.88249179963489,72.41689290231625,72.47083922371797,8021400
2014-03-05,74.34104919433594,74.8175932821349,73.74761227449785,73.92744476228576,7709700
2014-03-06,74.9344711303711,75.00640411768775,74.4849002495028,74.50288692628558,5774400
2014-03-07,73.91845703125,75.21322360192725,73.74761786986662,75.1682637615921,7478100
2014-03-10,73.70265197753906,74.1162563685112,73.45089337954796,73.8914709260324,5209700
2014-03-11,72.87545776367188,74.02635836164758,72.57873927390695,73.90047903748828,7171600
2014-03-12,73.17217254638672,73.18116588704522,71.97631891534616,72.46184955236201,6378300
2014-03-13,71.86842346191406,73.71166738609064,71.62565812970956,73.50486169873103,8570600
2014-03-14,71.99430847167969,72.30002035622594,71.54473741668983,71.79649610989857,7754700
2014-03-17,73.18116760253906,73.36998660134013,72.21009258592572,72.38093176289728,7280700
2014-03-18,73.72064971923828,73.95442855703197,73.08225973056726,73.3070452277011,5395900
2014-03-19,72.39891052246094,73.99938903817078,71.96732620579348,73.95442919439294,6403200
2014-03-20,72.6596450805664,72.8484640312657,71.71555032706988,72.46183279128883,5968200
2014-03-21,72.2460708618164,73.7746166429456,71.97633233096555,73.69369028175316,7840900
2014-03-24,71.4727783203125,72.76754468138002,71.37387217551388,72.56973239178276,7642900
2014-03-25,71.52674102783203,72.23705709349181,70.67255210522866,72.1471442752989,6692400
2014-03-26,70.69054412841797,72.14714972901169,70.68155078794636,71.86841791357142,6750800
2014-03-27,70.56466674804688,70.68155273776682,69.48569223868118,70.40282091463747,9194700
2014-03-28,71.02323150634766,71.44582938467441,70.41181461300656,70.78945950294496,5281700
2014-03-31,71.99430847167969,72.2820336724768,71.62566377374115,71.66162342141963,6848800
2014-04-01,73.343017578125,73.37898408372313,72.28202967266358,72.28202967266358,6555000
2014-04-02,73.43292236328125,73.70266769574602,73.10024422780464,73.4778822053283,6073500
2014-04-03,73.450927734375,73.94545182318524,72.95639678565425,73.65772659663239,4930100
2014-04-04,72.31798553466797,74.4939073537861,72.2910123744166,74.01736322958925,8894400
2014-04-07,71.14910125732422,72.65067355317397,70.63659061140807,72.30899521595735,9000800
2014-04-08,71.54472351074219,71.61665651193752,70.24097044864239,71.27497818621396,7085100
2014-04-09,72.35395050048828,72.40789681984693,71.26598961400272,71.9043795460773,7004800
